snapshot_time_utc,slug,event_id,event_title,event_updatedAt,event_endDate,market_id,condition_id,market_question,K,yes_token_id,no_token_id,pPM,qPM,pPM_source,qPM_source,T_days,T_years
2026-01-18 12:13:01.555712+00:00,aapl-above-on-january-16-2026,154115,Will Apple (AAPL) finish week of January 12 above___?,2026-01-18T00:21:28.178929Z,2026-01-16 21:00:00+00:00,1146471,0x92aa005240da0bf9ecf68591b73ac0133566d6081140a01c371d4a111747ab25,Will Apple (AAPL) finish week of January 12 above $275?,275.0,39014545768183364841120910953005875979666013084100391277846934186612491925657,83995662316706294801504171760318984786298867641792500503264780245675197108738,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,aapl-above-on-january-16-2026,154115,Will Apple (AAPL) finish week of January 12 above___?,2026-01-18T00:21:28.178929Z,2026-01-16 21:00:00+00:00,1146474,0x8bfc4299fd4e2d971149aa3c3b2e76240690a585b9151009b49b4c2f8145e3a7,Will Apple (AAPL) finish week of January 12 above $280?,280.0,51953260825203607556403037177013814347519138675795900839273184057729258289957,1496838293258509255663679814877025758481079236995456323421016003411910425295,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,aapl-above-on-january-16-2026,154115,Will Apple (AAPL) finish week of January 12 above___?,2026-01-18T00:21:28.178929Z,2026-01-16 21:00:00+00:00,1146476,0xe341de31284a73f37daf3d92bab9b360aabadec08c0915b30d521dd39f81b63e,Will Apple (AAPL) finish week of January 12 above $285?,285.0,24646586252432910540841913592787580072071008692783163531448537453275532486976,85615229960802053357027554390079588744336963344637939864582004122638632447603,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,aapl-above-on-january-16-2026,154115,Will Apple (AAPL) finish week of January 12 above___?,2026-01-18T00:21:28.178929Z,2026-01-16 21:00:00+00:00,1146477,0x70517a6308b3a166dbe2c03f94a4c4ec777bbf0409345cc171feed016be02e3a,Will Apple (AAPL) finish week of January 12 above $290?,290.0,13586428302680277624401620512640209500579481615622798733640256547946655547720,57774246787418819206737241250455356220189707929963922851077674363339732548845,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,googl-above-on-january-16-2026,154130,Will Google (GOOGL) finish week of January 12 above___?,2026-01-18T00:21:28.175886Z,2026-01-16 21:00:00+00:00,1146561,0x87c0bc6c2b6f8d823cb5f664ad1b86a07c415d1cb22e9d1aa9909f4dfa368217,Will Google (GOOGL) finish week of January 12 above $340?,340.0,57002065269789622117814503807417568726366586562577394450963496847470567267674,103315990638543698976606356996351284642287601490549160596657889902965081202517,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,googl-above-on-january-16-2026,154130,Will Google (GOOGL) finish week of January 12 above___?,2026-01-18T00:21:28.175886Z,2026-01-16 21:00:00+00:00,1146552,0xe07d434c88bae0c806c8e51f34a9d1124b2e3b0b278220ec2c814fde7e94a480,Will Google (GOOGL) finish week of January 12 above $295?,295.0,71825563633860364274030479975790843675904211005889450918560620364746730972517,967987951092373172435235770824630167888998142834118710711377967390966527150,1.0,0.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,googl-above-on-january-16-2026,154130,Will Google (GOOGL) finish week of January 12 above___?,2026-01-18T00:21:28.175886Z,2026-01-16 21:00:00+00:00,1146553,0x3fda8e0284c645969e35d795fb558fc51d08b580040bb090a77a9eaec2ab284e,Will Google (GOOGL) finish week of January 12 above $300?,300.0,74338690061409355474670044632436338455262326993074136192787667358956069693819,7004632585913081995170135900003256663128931814506931475032861016963414696107,1.0,0.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,googl-above-on-january-16-2026,154130,Will Google (GOOGL) finish week of January 12 above___?,2026-01-18T00:21:28.175886Z,2026-01-16 21:00:00+00:00,1146554,0xe9d3595e745a251086fba01dc78fffe5645c5ec43e2d3a2ff32255de76186457,Will Google (GOOGL) finish week of January 12 above $305?,305.0,5869975029796557101612996793353222418866479664278027210495278257352183307971,47931942061450814510930365313107608691782965622404820886804367227992091159391,1.0,0.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,googl-above-on-january-16-2026,154130,Will Google (GOOGL) finish week of January 12 above___?,2026-01-18T00:21:28.175886Z,2026-01-16 21:00:00+00:00,1146555,0x8c97ce8acc163f504624fba41284de841ae142edcafcd02b26f1a862c3f83457,Will Google (GOOGL) finish week of January 12 above $310?,310.0,9349839412890137131986300065316494867646822757593638059484303887281833457370,30611602904055347061257775363911589335751640163782395603611016838926032843206,1.0,0.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,googl-above-on-january-16-2026,154130,Will Google (GOOGL) finish week of January 12 above___?,2026-01-18T00:21:28.175886Z,2026-01-16 21:00:00+00:00,1146556,0x7fe60a95b75ffc50d890aa9f6f40689d1a570f0564797b0b528838ce2aa237ee,Will Google (GOOGL) finish week of January 12 above $315?,315.0,24034172507868795424743300807878379715636210044534513731309182330216342074944,84330741020921493709112247988094464126137360583747264005750047738153153957725,1.0,0.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
